StudyID,OwnData,Journal,Year,Volume,PageN,FirstAuthor,topic,MultipleStudies,tpf (total FINAL participants),Groups,General_notes,AlternativeHypothesis,"NullHypothesis (mentioned 1, not mentioned 0)",CommentsHypotheses,TypesCorrelation,CommentsCorrelation,apri_powercalculation,power_test,Effect_sizes for power calculations,Power_comments,Preregistration,Replication_exp_in_paper,comments_from_paper
1,1,ChildDev,2019,90/1,25,Sun,"development, siblings",,152,,sample-152 families drawn from a larger longitudinal study,directional,0,,Pearson ,Correlation Table present in supplementary material,0,,,,,,
2,1,ChildDev,2019,90/1,35,Psouni,"development, verbal ability",exp2,95,45;50,,directional,0,,Pearson,,0,,,,,,
3,1,ChildDev,2019,90/1,35,Psouni,"development, verbal ability",exp3,59,29;30,,directional,0,,Pearson,,0,,,,,1,
4,1,ChildDev,2019,90/1,62,Seaton,gender race,,344,,,explorative,0,,NA,,0,,,,,,
5,1,ChildDev,2019,90/1,108,Elenbaas,"development, equity",,72,,,"directional, mediation",0,,Pearson?,,1,,,Mention a priori power calculation in participant section and that details will follow but I haven't found details anywhere else in the text,,,
6,0,ChildDev,2019,90/1,117,Aizpitarte,"development, aggression",,674,NA,"longitudinal study, number of participating families differed across 4 time points but it is not mentioned how was differential participation dealt with

""Retention rates (relative to
the original sample of 674) were 86% at age 12,
91% at age 14, and 90% at age 16.""",explorative,0,vague stating of hypotheses,NA,Some correlations evidently calculated but not present in supplementary material or within the paper,0,,,,,,"while hypotheses explorative, it is not mentioned they are"
8,0,JPSP,2019,116/2,313,Gerlach,mate preferences,,763,,data from the Göttingen Mate Choice Study,"directional, moderation, explorative",0,,NA,some correlations done with only a subset of participants,0,,,,,,
9,0,JPSP,2019,116/2,331,Deventer,"personality, relationships",,4373,,"sample size not very clear, could also be 4534 ",directional,0,,Pearson,,0,,,,,,
10,1,JPSP,2019,116/2,167,Doyle,"gender, sexism",exp7,211,,,directional,0,,Pearson,Keeps mentioning correlations in previous experiments within the paper but cannot find the report of those,1,F,0.2 (partial eta squared),"""sensitivity analysis indicated a sensitivity
to detect an effect size of  partial eta squared =  .02 with 80% power and alpha
equal to .05""",,,
11,1,JPSP,2019,116/2,237,Muise,relationships,exp1,244,,"the study reports participant number as 122 couples but both partners seem to have taken part, hence the tpf 244 but this was not clarified within the text -> seems slightly weird that they do not mention anyone leaving during the study even though its longitudinal","directional, explorative",0,,Pearson,,0,,,,,,
12,1,JPSP,2019,116/2,237,Muise,relationships,exp2,236,,118 couples -> seems slightly weird that they do not mention anyone leaving during the study even though its longitudinal,directional,0,,Pearson,,0,,,,,1,"""In Study 2, we aimed to replicate
these daily findings and we extended the previous study by following
up with participants immediately after the 21-day daily
experience study as well as 3 months later to test whether selfexpansion
over the course of the diary predicted changes in sexual
desire, relationship satisfaction, and sexual satisfaction over time."""
13,0,JPSP,2019,116/2,277,Wolfer,"intergroup contact, intergroup anxiety",exp1,560,,,directional,0,,NA,"even though sample sizes differ across studies, according to the table all correlations are significant at same magnitudes of correlation coefficient and at alpha >0.05",0,,,,,,
14,0,JPSP,2019,116/2,277,Wolfer,"intergroup contact, intergroup anxiety",exp2,6600,4390;2210,"majority 4390, minority 2210",directional,0,,NA,"even though sample sizes differ across studies, according to the table all correlations are significant at same magnitudes of correlation coefficient and at alpha >0.05",0,,,,,1,
