StudyID,Correlation,Directionality (positive or negative - because excel thinks I want to calculate something if I start with minus sign),SignificanceLevel<than,Nonsignificant,N,Variable1,Measure1,Variable2,Measure2,Same_variable,Type_Same,InPaper (as opposed to supplementary material),"InTable (1 in table, 0 in text)","type_p(1: p=, 2: p<, 3: p>)",MainCor,corr_Type(when different),ProvisionallySuspicious,Corr_Comments,N as range
1,.21,N,0.01,,152,Dyadic attainment,sibling differences in college graduation by about age 26,Sibling warmth,"eight-item, 5-point scale (Blyth & Foster-Clark, 1987)",,,1,0,1,1,,,Different significance level mentioned in text (p=0.01) and in supplementary material (p<0.05). Which can be logically true but seems a bit sketchy,
1,.20,P,0.01,,152,Dyadic attainment,,Father's dyadic time difference,,,,1,0,1,1,,,Different significance level mentioned in text (p=0.01) and in supplementary material (p<0.05),
1,.24,N,0.004,,152,Dyadic attainment,,Parental fairness,,,,1,0,1,1,,,,
1, .22,P,0.01,,152,Mother warmth difference,"calculated
as the absolute value of the difference
between first- and second-borns’ ratings of maternal
 warmth",Father warmth difference,,,,0,1,2,,,,"Correlation value is hard to read in the table, may also be negative",
1, .23,P,0.01,,152,Sibling warmth,,Parental fairness,,,,0,1,2,,,,,
1,.47,P,0.01,,152,Sibling warmth,,Mother warmth average,,,,0,1,2,,,,,
1,.19,N,0.05,,152,Mother warmth difference,,Mother warmth average,,,,0,1,2,,,,"Hard to read in the table, could be positive",
1,.24,P,0.01,,152,Parental Fairness,"10-item measure (McHale
et al., 2000)",Mother warmth average,,,,0,1,2,,,,,
1,.16,P,0.1,,152,Sibling dyadic time,"total amount of time (in minutes) that children
reported spending with only their sibling present
across all activities and all seven calls",Mother dyadic time average,,,,0,1,2,,,,,
1,.16,N,0.1,,152,Mother warmth difference,,Mother dyadic time average,,,,0,1,2,,,,"Hard to read in the table, could be positive",
1,.28,P,0.01,,152,Mother dyadic time difference,"absolute value of the difference between first- and
second-borns’ reports of dyadic time spent with
mothers ",Mother dyadic time average,,,,0,1,2,,,,,
1,.17,P,0.05,,152,Mother warmth average,,Mother dyadic time average,,,,0,1,2,,,,,
1,.45,P,0.01,,152,Sibling warmth,,Father warmth average,,,,0,1,2,,,,,
1,.18,P,0.05,,152,Parental Fairness,,Father warmth average,,,,0,1,2,,,,,
1,.48,P,0.01,,152,Mother warmth average,,Father warmth average,,,,0,1,2,,,,,
1,.30,P,0.01,,152,Father dyadic time difference,"absolute value of the difference between first- and
second-borns’ reports of dyadic time spent with
fathers",Father dyadic time average,,,,0,1,2,,,,,
1,.21,P,0.05,,152,Mother dyadic time average,,Parent's age,,,,0,1,2,,,,,
1,.15,P,0.1,,152,Father dyadic time average,,Parent's age,,,,0,1,2,,,,,
1,.48,P,0.01,,152,Parent's education,,Parent's age,,,,0,1,2,,,,,
1,.18,P,0.05,,152,Dyadic attainment,sibling differences in college graduation by about age 26,Dyad sex constellation,,,,0,1,2,,,,,
1,.18,N,0.05,,152,Sibling warmth,,Dyad sex constellation,,,,0,1,2,,,,,
1,.20,N,0.05,,152,Sibling dyadic time,,Dyad sex constellation,,,,0,1,2,,,,,
1,.17,P,0.05,,152,Father dyadic time difference,,Dyad sex constellation,,,,0,1,2,,,,,
1,.18,P,0.05,,152,Mother dyadic time average,,Dyad sex constellation,,,,0,1,2,,,,,
1,.22,P,0.01,,152,Father dyadic time average,,Dyad sex constellation,,,,0,1,2,,,,,
1,.16,P,0.1,,152,Sibling warmth,,Sibling GPA average,,,,0,1,2,,,,,
1,.21,P,0.05,,152,Parental Fairness,,Sibling GPA average,,,,0,1,2,,,,,
1,.17,N,0.05,,152,Mother warmth average,,Sibling GPA average,,,,0,1,2,,,,,
1,.29,P,0.01,,152,Father warmth average,,Sibling GPA average,,,,0,1,2,,,,,
1,.37,P,0.01,,152,Parent's education,,Sibling GPA average,,,,0,1,2,,,,,
1,.25,P,0.01,,152,Parent's age,,Sibling GPA average,,,,0,1,2,,,,,
1,.25,P,0.01,,152,Dyadic attainment,sibling differences in college graduation by about age 26,Sibling GPA difference,,,,0,1,2,,,,,
1,.23,N,0.01,,152,Sibling warmth,,Sibling GPA difference,,,,0,1,2,,,,,
1,.14,P,0.1,,152,Mother dyadic time difference,,Sibling GPA difference,,,,0,1,2,,,,,
1,.22,N,0.01,,152,Parental Fairness,,Sibling GPA difference,,,,0,1,2,,,,,
1,.18,N,0.05,,152,Father warmth average,,Sibling GPA difference,,,,0,1,2,,,,,
1,.19,N,0.05,,152,Parent's education,,Sibling GPA difference,,,,0,1,2,,,,,
1,.25,N,0.01,,152,Parent's age,,Sibling GPA difference,,,,0,1,2,,,,,
1,.63,N,0.01,,152,Sibling GPA average,,Sibling GPA difference,,,,0,1,2,,,,,
1,.21,P,NA,,152,Sibling warmth,,Cross-time sibling similarity in GPA,,,,1,1,2,,,,"not mentioned in the table, only in discussion part of the article, I did not find mention of the second variable anywhere else in the article",
1,.06,N,,1,152,Dyadic attainment,,sibling dyadic time,,,,0,1,2,1,,,,
1,.01,P,,1,152,Sibling warmth,,sibling dyadic time,,,,0,1,2,,,,,
1,.07,N,,1,152,Dyadic attainment,,mother warmth difference,,,,0,1,2,1,,,,
1,.08,N,,1,152,Sibling warmth,,mother warmth difference,,,,0,1,2,,,,,
1,.03,N,,1,152,Sibling dyadic time,,mother warmth difference,,,,0,1,2,,,,,
1,.04,N,,1,152,Dyadic attainment,,Mother dyadic time difference,,,,0,1,2,1,,,,
1,.01,P,,1,152,Sibling warmth,,Mother dyadic time difference,,,,0,1,2,,,,,
1,.03,N,,1,152,Sibling dyadic time,,Mother dyadic time difference,,,,0,1,2,,,,,
1,.04,N,,1,152,Mother warmth difference,,Mother dyadic time difference,,,,0,1,2,,,,,
1,0.01,P,,1,152,Dyadic attainment,,Father warmth difference,,,,0,1,2,1,,,,
1,.11,N,,1,152,Sibling warmth,,Father warmth difference,,,,0,1,2,,,,,
1,.11,N,,1,152,Sibling dyadic time,,Father warmth difference,,,,0,1,2,,,,,
1,.03,P,,1,152,Mother dyadic time difference,,Father warmth difference,,,,0,1,2,,,,,
1,.03,P,,1,152,Sibling warmth,,Father dyadic time difference,,,,0,1,2,,,,,
1,.08,P,,1,152,Sibling dyadic time,,Father dyadic time difference,,,,0,1,2,,,,,
1,.00,0,,1,152,Mother warmth difference,,Father dyadic time difference,,,,0,1,2,,,,,
1,.04,P,,1,152,Mother dyadic time difference,,Father dyadic time difference,,,,0,1,2,,,,,
1,.05,P,,1,152,father warmth difference,,Father dyadic time difference,,,,0,1,2,,,,,
1,.12,N,,1,152,Sibling dyadic time,,Parental fairness,,,,0,1,2,,,,,
1,.08,P,,1,152,Mother warmth difference,,Parental fairness,,,,0,1,2,,,,,
1,.10,N,,1,152,Mother dyadic time difference,,Parental fairness,,,,0,1,2,,,,,
1,.09,P,,1,152,father warmth difference,,Parental fairness,,,,0,1,2,,,,,
1,.13,N,,1,152,Father dyadic time difference,,Parental fairness,,,,0,1,2,,,,,
1,.07,N,,1,152,Dyadic attainment,,Mother warmth average,,,,0,1,2,1,,,,
1,.06,N,,1,152,Sibling dyadic time,,Mother warmth average,,,,0,1,2,,,,,
1,.00,0,,1,152,Mother dyadic time difference,,Mother warmth average,,,,0,1,2,,,,,
1,.14,N,,1,152,father warmth difference,,Mother warmth average,,,,0,1,2,,,,,
1,.02,P,,1,152,Father dyadic time difference,,Mother warmth average,,,,0,1,2,,,,,
1,.07,N,,1,152,Dyadic attainment,,Mother dyadic time average,,,,0,1,2,1,,,,
1,.05,N,,1,152,Sibling warmth,,Mother dyadic time average,,,,0,1,2,,,,,
1,.06,N,,1,152,father warmth difference,,Mother dyadic time average,,,,0,1,2,,,,,
